Hierarchical Name,Hierarchical Name,Coded Text
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\vocal learning,vocal learning
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Year,Brain mechanisms of acoustic communication in humans and nonhuman primates: An evolutionary perspective
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Year\2014,Brain mechanisms of acoustic communication in humans and nonhuman primates: An evolutionary perspective
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\Journal,Prediction and Prevention of Psychosis in Youth at Clinical High Risk
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\Journal\Annual Review of Clinical Psychology,Prediction and Prevention of Psychosis in Youth at Clinical High Risk
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\Number of Citations,Prediction and Prevention of Psychosis in Youth at Clinical High Risk
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\Number of Citations\121-130,Prediction and Prevention of Psychosis in Youth at Clinical High Risk
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\psychopathology,schizophrenia
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\psychopathology,psychosis
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\psychopathology,psychosis
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\psychopathology\Psychopathology,schizophrenia
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\psychopathology\Psychopathology,psychosis
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\psychopathology\Psychopathology\psychosis,psychosis
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\psychopathology\Psychopathology\schizophrenia,schizophrenia
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\psychopathology\psychosis,psychosis
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\risk perception,risk
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\risk perception\risk,risk
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\treatment,treatment
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\Year,Prediction and Prevention of Psychosis in Youth at Clinical High Risk
"Internals\\Addington, J., & Heinssen, R. (2012). Prediction and prevention of psychosis in youth at clinical high risk",Nodes\\Year\2012,Prediction and Prevention of Psychosis in Youth at Clinical High Risk
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\computational modeling,Computational modelling
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\computational modeling\Computational modelling,Computational modelling
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\Individual differences,Individual differences
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\Journal,"Individual differences in reading aloud: A mega-study, item effects, and some models"
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\Journal\Cognitive Psychology,"Individual differences in reading aloud: A mega-study, item effects, and some models"
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\Number of Citations,"Individual differences in reading aloud: A mega-study, item effects, and some models"
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\Number of Citations\11-20,"Individual differences in reading aloud: A mega-study, item effects, and some models"
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\Reading,Reading aloud
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\Reading\Reading aloud,Reading aloud
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\visual working memory,Visual word recognition
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\visual working memory\Visual word recognition,Visual word recognition
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\Word learning,Word naming
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\Word learning\Word naming,Word naming
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\Year,"Individual differences in reading aloud: A mega-study, item effects, and some models"
"Internals\\Adelman, J. S., Sabatos-DeVito, M. G., Marquis, S. J., & Estes, Z. (2014). Individual differences in reading aloud A mega-study, item effects, and some models. Cognitive psychology",Nodes\\Year\2014,"Individual differences in reading aloud: A mega-study, item effects, and some models"
"Internals\\Aleven, V., Roll, I. D. O., McLaren, B. M., & Koedinger, K. R. (2010). Automated, unobtrusive, action-by-action assessment of self-regulation during learning with an intelligent tutoring system. Educational Psychologist",Nodes\\Action-based framework,Action-by-Action Assessment
"Internals\\Aleven, V., Roll, I. D. O., McLaren, B. M., & Koedinger, K. R. (2010). Automated, unobtrusive, action-by-action assessment of self-regulation during learning with an intelligent tutoring system. Educational Psychologist",Nodes\\Action-based framework\Action-by-Action Assessment,Action-by-Action Assessment
"Internals\\Aleven, V., Roll, I. D. O., McLaren, B. M., & Koedinger, K. R. (2010). Automated, unobtrusive, action-by-action assessment of self-regulation during learning with an intelligent tutoring system. Educational Psychologist",Nodes\\Journal,"Automated, Unobtrusive, Action-by-Action Assessment of Self-Regulation During Learning With an Intelligent Tutoring System"
"Internals\\Aleven, V., Roll, I. D. O., McLaren, B. M., & Koedinger, K. R. (2010). Automated, unobtrusive, action-by-action assessment of self-regulation during learning with an intelligent tutoring system. Educational Psychologist",Nodes\\Journal\Educational Psychologist,"Automated, Unobtrusive, Action-by-Action Assessment of Self-Regulation During Learning With an Intelligent Tutoring System"
"Internals\\Aleven, V., Roll, I. D. O., McLaren, B. M., & Koedinger, K. R. (2010). Automated, unobtrusive, action-by-action assessment of self-regulation during learning with an intelligent tutoring system. Educational Psychologist",Nodes\\Number of Citations,"Automated, Unobtrusive, Action-by-Action Assessment of Self-Regulation During Learning With an Intelligent Tutoring System"
"Internals\\Aleven, V., Roll, I. D. O., McLaren, B. M., & Koedinger, K. R. (2010). Automated, unobtrusive, action-by-action assessment of self-regulation during learning with an intelligent tutoring system. Educational Psychologist",Nodes\\Number of Citations\101-110,"Automated, Unobtrusive, Action-by-Action Assessment of Self-Regulation During Learning With an Intelligent Tutoring System"
"Internals\\Aleven, V., Roll, I. D. O., McLaren, B. M., & Koedinger, K. R. (2010). Automated, unobtrusive, action-by-action assessment of self-regulation during learning with an intelligent tutoring system. Educational Psychologist",Nodes\\Robotics\intelligent robots\Intelligent Tutoring Systems,Intelligent Tutoring System
"Internals\\Aleven, V., Roll, I. D. O., McLaren, B. M., & Koedinger, K. R. (2010). Automated, unobtrusive, action-by-action assessment of self-regulation during learning with an intelligent tutoring system. Educational Psychologist",Nodes\\Robotics\intelligent robots\Intelligent Tutoring Systems\Intelligent Tutoring System,Intelligent Tutoring System
"Internals\\Aleven, V., Roll, I. D. O., McLaren, B. M., & Koedinger, K. R. (2010). Automated, unobtrusive, action-by-action assessment of self-regulation during learning with an intelligent tutoring system. Educational Psychologist",Nodes\\Self-related\self-regulation,Self-Regulation
"Internals\\Aleven, V., Roll, I. D. O., McLaren, B. M., & Koedinger, K. R. (2010). Automated, unobtrusive, action-by-action assessment of self-regulation during learning with an intelligent tutoring system. Educational Psychologist",Nodes\\Self-related\self-regulation,self-regulated learning
"Internals\\Aleven, V., Roll, I. D. O., McLaren, B. M., & Koedinger, K. R. (2010). Automated, unobtrusive, action-by-action assessment of self-regulation during learning with an intelligent tutoring system. Educational Psychologist",Nodes\\Self-related\self-regulation\Self-regulated learning,self-regulated learning
"Internals\\Aleven, V., Roll, I. D. O., McLaren, B. M., & Koedinger, K. R. (2010). Automated, unobtrusive, action-by-action assessment of self-regulation during learning with an intelligent tutoring system. Educational Psychologist",Nodes\\Year,"Automated, Unobtrusive, Action-by-Action Assessment of Self-Regulation During Learning With an Intelligent Tutoring System"
"Internals\\Aleven, V., Roll, I. D. O., McLaren, B. M., & Koedinger, K. R. (2010). Automated, unobtrusive, action-by-action assessment of self-regulation during learning with an intelligent tutoring system. Educational Psychologist",Nodes\\Year\2010,"Automated, Unobtrusive, Action-by-Action Assessment of Self-Regulation During Learning With an Intelligent Tutoring System"
"Internals\\Alexander, P. A., Schallert, D. L., & Reynolds, R. E. (2009). What is learning anyway A topographical perspective considered. Educational Psychologist",Nodes\\Journal,What Is Learning Anyway? A Topographical Perspective Considered
"Internals\\Alexander, P. A., Schallert, D. L., & Reynolds, R. E. (2009). What is learning anyway A topographical perspective considered. Educational Psychologist",Nodes\\Journal\Educational Psychologist,What Is Learning Anyway? A Topographical Perspective Considered
"Internals\\Alexander, P. A., Schallert, D. L., & Reynolds, R. E. (2009). What is learning anyway A topographical perspective considered. Educational Psychologist",Nodes\\learning,deﬁnition of learning
"Internals\\Alexander, P. A., Schallert, D. L., & Reynolds, R. E. (2009). What is learning anyway A topographical perspective considered. Educational Psychologist",Nodes\\learning\deﬁnition of learning,deﬁnition of learning
"Internals\\Alexander, P. A., Schallert, D. L., & Reynolds, R. E. (2009). What is learning anyway A topographical perspective considered. Educational Psychologist",Nodes\\Number of Citations,What Is Learning Anyway? A Topographical Perspective Considered
"Internals\\Alexander, P. A., Schallert, D. L., & Reynolds, R. E. (2009). What is learning anyway A topographical perspective considered. Educational Psychologist",Nodes\\Number of Citations\201-210,What Is Learning Anyway? A Topographical Perspective Considered
"Internals\\Alexander, P. A., Schallert, D. L., & Reynolds, R. E. (2009). What is learning anyway A topographical perspective considered. Educational Psychologist",Nodes\\productive engagement,products and processes of learning
"Internals\\Alexander, P. A., Schallert, D. L., & Reynolds, R. E. (2009). What is learning anyway A topographical perspective considered. Educational Psychologist",Nodes\\productive engagement\products and processes of learning,products and processes of learning
"Internals\\Alexander, P. A., Schallert, D. L., & Reynolds, R. E. (2009). What is learning anyway A topographical perspective considered. Educational Psychologist",Nodes\\Topographical Perspective,Topographical Perspective
"Internals\\Alexander, P. A., Schallert, D. L., & Reynolds, R. E. (2009). What is learning anyway A topographical perspective considered. Educational Psychologist",Nodes\\Year,What Is Learning Anyway? A Topographical Perspective Considered
"Internals\\Alexander, P. A., Schallert, D. L., & Reynolds, R. E. (2009). What is learning anyway A topographical perspective considered. Educational Psychologist",Nodes\\Year\2009,What Is Learning Anyway? A Topographical Perspective Considered
"Internals\\Alfieri, L., Nokes-Malach, T. J., & Schunn, C. D. (2013). Learning through case comparisons A meta-analytic review. Educational Psychologist",Nodes\\Journal,Learning Through Case Comparisons: A MetaAnalytic Review
"Internals\\Alfieri, L., Nokes-Malach, T. J., & Schunn, C. D. (2013). Learning through case comparisons A meta-analytic review. Educational Psychologist",Nodes\\Journal\Educational Psychologist,Learning Through Case Comparisons: A MetaAnalytic Review
"Internals\\Alfieri, L., Nokes-Malach, T. J., & Schunn, C. D. (2013). Learning through case comparisons A meta-analytic review. Educational Psychologist",Nodes\\learning,learning outcomes
"Internals\\Alfieri, L., Nokes-Malach, T. J., & Schunn, C. D. (2013). Learning through case comparisons A meta-analytic review. Educational Psychologist",Nodes\\learning\learning outcomes,learning outcomes
"Internals\\Alfieri, L., Nokes-Malach, T. J., & Schunn, C. D. (2013). Learning through case comparisons A meta-analytic review. Educational Psychologist",Nodes\\meta-analysis,Meta-Analytic Review
"Internals\\Alfieri, L., Nokes-Malach, T. J., & Schunn, C. D. (2013). Learning through case comparisons A meta-analytic review. Educational Psychologist",Nodes\\meta-analysis\Meta-Analytic Review,Meta-Analytic Review
"Internals\\Alfieri, L., Nokes-Malach, T. J., & Schunn, C. D. (2013). Learning through case comparisons A meta-analytic review. Educational Psychologist",Nodes\\Number of Citations,Learning Through Case Comparisons: A MetaAnalytic Review
"Internals\\Alfieri, L., Nokes-Malach, T. J., & Schunn, C. D. (2013). Learning through case comparisons A meta-analytic review. Educational Psychologist",Nodes\\Number of Citations\91-100,Learning Through Case Comparisons: A MetaAnalytic Review
"Internals\\Alfieri, L., Nokes-Malach, T. J., & Schunn, C. D. (2013). Learning through case comparisons A meta-analytic review. Educational Psychologist",Nodes\\Year,Learning Through Case Comparisons: A MetaAnalytic Review
"Internals\\Alfieri, L., Nokes-Malach, T. J., & Schunn, C. D. (2013). Learning through case comparisons A meta-analytic review. Educational Psychologist",Nodes\\Year\2013,Learning Through Case Comparisons: A MetaAnalytic Review
"Internals\\Allen, J. W. (2015). How to help Can more active behavioral measures help transcend the infant false-belief debate. New Ideas in Psychology",Nodes\\Action-based framework,Action-based framework
"Internals\\Allen, J. W. (2015). How to help Can more active behavioral measures help transcend the infant false-belief debate. New Ideas in Psychology",Nodes\\False belief\False-belief,False-belief
"Internals\\Allen, J. W. (2015). How to help Can more active behavioral measures help transcend the infant false-belief debate. New Ideas in Psychology",Nodes\\Journal,How to help: Can more active behavioral measures help transcend the infant false-belief debate?
"Internals\\Allen, J. W. (2015). How to help Can more active behavioral measures help transcend the infant false-belief debate. New Ideas in Psychology",Nodes\\Journal\New Ideas in Psychology,How to help: Can more active behavioral measures help transcend the infant false-belief debate?
"Internals\\Allen, J. W. (2015). How to help Can more active behavioral measures help transcend the infant false-belief debate. New Ideas in Psychology",Nodes\\Mindreading framework,Mindreading framework
"Internals\\Allen, J. W. (2015). How to help Can more active behavioral measures help transcend the infant false-belief debate. New Ideas in Psychology",Nodes\\Number of Citations,How to help: Can more active behavioral measures help transcend the infant false-belief debate?
"Internals\\Allen, J. W. (2015). How to help Can more active behavioral measures help transcend the infant false-belief debate. New Ideas in Psychology",Nodes\\Number of Citations\11-20,How to help: Can more active behavioral measures help transcend the infant false-belief debate?
"Internals\\Allen, J. W. (2015). How to help Can more active behavioral measures help transcend the infant false-belief debate. New Ideas in Psychology",Nodes\\Social Psychology,Social situations
"Internals\\Allen, J. W. (2015). How to help Can more active behavioral measures help transcend the infant false-belief debate. New Ideas in Psychology",Nodes\\Social Psychology\social systems,Social situations
"Internals\\Allen, J. W. (2015). How to help Can more active behavioral measures help transcend the infant false-belief debate. New Ideas in Psychology",Nodes\\Social Psychology\social systems\Social situations,Social situations
"Internals\\Allen, J. W. (2015). How to help Can more active behavioral measures help transcend the infant false-belief debate. New Ideas in Psychology",Nodes\\Year,How to help: Can more active behavioral measures help transcend the infant false-belief debate?
"Internals\\Allen, J. W. (2015). How to help Can more active behavioral measures help transcend the infant false-belief debate. New Ideas in Psychology",Nodes\\Year\2015,How to help: Can more active behavioral measures help transcend the infant false-belief debate?
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\cognitive systems,Cognitive bias
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\cognitive systems\cognitive bias,Cognitive bias
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\Journal,A psycho-ethical approach to personality disorders: The role of volitionality
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\Journal\New Ideas in Psychology,A psycho-ethical approach to personality disorders: The role of volitionality
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\Number of Citations,A psycho-ethical approach to personality disorders: The role of volitionality
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\Number of Citations\1-10,A psycho-ethical approach to personality disorders: The role of volitionality
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\personality,Personality disorders
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\personality\personality disorders,Personality disorders
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\Psychological theory,psycho-ethical perspective
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\Psychological theory\psycho-ethical perspective,psycho-ethical perspective
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\Virtues,Virtues
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\volition,Volitionality
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\volition\Volitionality,Volitionality
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\Year,A psycho-ethical approach to personality disorders: The role of volitionality
